Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,TOTAL 2001-2013
Serbia,2226,1060,821,2502,1480,1791,2042,2956,2402,2366,2084,2870,1260,25860
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,5754,2844,2384,909,1508,6861,5548,5823,6643,1900,6796,873,2801,50644
Singapore,26,87,10,18,52,41,58,30,144,30,62,68,12,637
Sint Maarten,1,0,1,1,2,1,1,1,2,0,2,0,1,12
Slovakia,3632,3739,3438,4294,25716,7575,8743,12541,10682,16259,10836,8344,3523,119324
Slovenia,524,638,423,1130,1676,1094,1850,1638,1751,1319,1306,697,356,14401
Solomon Islands,2158,3826,2347,3513,6482,5023,5616,8102,5952,6339,5795,7938,7427,70518
Somalia,34,13,10,10,4,4,7,4,11,14,11,4,4,130
South Africa,32154,20318,43656,33710,57860,55297,22449,43961,37693,34257,35461,40651,14939,472405
South Korea,1479,1446,1078,3626,2788,3064,3007,4710,5770,6083,5494,7508,1435,47488
South Sudan,738,714,291,886,663,713,880,562,621,524,1177,596,176,8541
Spain,18424,19852,12143,35219,25414,41123,36978,27594,39743,36189,26570,41920,25306,386475
Sri Lanka,2664,2266,2336,2830,3227,4715,5332,4226,6962,4654,8490,8625,3190,59516
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Suriname,3645,3657,4343,5237,3436,3337,3561,7386,7159,6919,5649,18906,9404,82639
Swaziland,3621,2290,3321,3341,2878,5764,4672,2898,7004,3397,1127,1687,1146,43146
Sweden,127892,157724,83660,244800,225520,226384,169329,266525,194150,247548,194098,213579,147491,2498701
Switzerland,1007,761,368,3371,2130,1877,1706,2187,2063,1577,1804,1329,478,20659
Syria,171,96,62,57,438,201,1324,667,67,169,95,3288,591,7226
Taiwan,869,806,896,1574,1279,1657,1399,1917,7757,2163,1264,1209,603,23393
Tajikistan,25,12,9,5,7,5,4,8,11,3,4,9,0,102
Tanzania,17739,9718,8231,6439,8024,6648,8066,11145,8417,15137,10497,10828,10576,131465
Thailand,23486,36310,35197,55934,60515,60245,56852,51787,84396,88652,57526,59465,37771,708135
Togo,66,34,22,10,5,12,20,4,12,3,6,7,0,201
Trinidad and Tobago,1682,650,667,678,1108,1556,1031,1178,1282,3250,362,645,591,14680
